model_id,model_type,dataset_type,station,file_path,base_path,test_rmse,model_size_mb
lstm_separate_板橋_C0ACA0_combined_windows,lstm,separate,板橋_C0ACA0_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_板橋_C0ACA0_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_板橋_C0ACA0_combined_windows,,0.9
lstm_separate_林口_C0AH50_combined_windows,lstm,separate,林口_C0AH50_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_林口_C0AH50_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_林口_C0AH50_combined_windows,2.8008119018315,0.07
lstm_separate_林口_C0AH50_combined_windows,lstm,separate,林口_C0AH50_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_林口_C0AH50_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_林口_C0AH50_combined_windows,,0.9
lstm_separate_林園_C0R640_combined_windows,lstm,separate,林園_C0R640_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_林園_C0R640_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_林園_C0R640_combined_windows,3.62634727363092,0.07
lstm_separate_林園_C0R640_combined_windows,lstm,separate,林園_C0R640_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_林園_C0R640_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_林園_C0R640_combined_windows,,0.9
lstm_separate_花蓮_466990_combined_windows,lstm,separate,花蓮_466990_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_花蓮_466990_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_花蓮_466990_combined_windows,1.97354331314769,0.07
lstm_separate_花蓮_466990_combined_windows,lstm,separate,花蓮_466990_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_花蓮_466990_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_花蓮_466990_combined_windows,,0.9
lstm_separate_金門_C0W150_combined_windows,lstm,separate,金門_C0W150_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_金門_C0W150_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_金門_C0W150_combined_windows,3.42628115625173,0.07
lstm_separate_金門_C0W150_combined_windows,lstm,separate,金門_C0W150_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_金門_C0W150_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_金門_C0W150_combined_windows,,0.9
lstm_separate_前金_C0V690_combined_windows,lstm,separate,前金_C0V690_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_前金_C0V690_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_前金_C0V690_combined_windows,3.0966134429559,0.07
