station,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank
古亭_C0AH10_combined_windows,2.94036150969664,1,lgbm_separate_古亭_C0AH10_combined_windows,separate,96
汐止_C0AH00_combined_windows,2.96216424863478,1,lgbm_separate_汐止_C0AH00_combined_windows,separate,97
臺東_C0SA10_combined_windows,2.96786259579833,1,lgbm_separate_臺東_C0SA10_combined_windows,separate,98
觀音_467050_combined_windows,2.97014902773665,1,lgbm_separate_觀音_467050_combined_windows,separate,99
楠梓_C0V770_combined_windows,2.97345396792614,1,lgbm_separate_楠梓_C0V770_combined_windows,separate,100
菜寮_C0AD30_combined_windows,2.98822351511682,1,lgbm_separate_菜寮_C0AD30_combined_windows,separate,101
士林_C0AI40_combined_windows,2.99280073187656,1,lgbm_separate_士林_C0AI40_combined_windows,separate,102
仁武_C0V680_combined_windows,3.00462323005579,1,lgbm_separate_仁武_C0V680_combined_windows,separate,103
永和_C0AH10_combined_windows,3.02810155094543,1,lgbm_separate_永和_C0AH10_combined_windows,separate,104
左營_C0V810_combined_windows,3.05022622841595,1,lgbm_separate_左營_C0V810_combined_windows,separate,105
二林_C0G730_combined_windows,3.06570571131368,1,lgbm_separate_二林_C0G730_combined_windows,separate,106
淡水_466900_combined_windows,3.11465584279673,1,lgbm_separate_淡水_466900_combined_windows,separate,107
前金_C0V690_combined_windows,3.13952684424281,1,lgbm_separate_前金_C0V690_combined_windows,separate,108
大同_C0AI30_combined_windows,3.14180882805365,1,lgbm_separate_大同_C0AI30_combined_windows,separate,109
前鎮_C0V490_combined_windows,3.14361979029353,1,lgbm_separate_前鎮_C0V490_combined_windows,separate,110
橋頭_C0V760_combined_windows,3.16492720615366,1,lgbm_separate_橋頭_C0V760_combined_windows,separate,111
復興_C0V710_combined_windows,3.16871567236373,1,lgbm_separate_復興_C0V710_combined_windows,separate,112
板橋_C0ACA0_combined_windows,3.20270597743257,1,lgbm_separate_板橋_C0ACA0_combined_windows,separate,113
馬祖_467990_combined_windows,3.20362862190856,1,lgbm_separate_馬祖_467990_combined_windows,separate,114
新港_C0M790_combined_windows,3.20480690233973,1,lgbm_separate_新港_C0M790_combined_windows,separate,115
恆春_B2Q810_combined_windows,3.22057466434955,1,lgbm_separate_恆春_B2Q810_combined_windows,separate,116
潮州_C0R220_combined_windows,3.22058299863051,1,lgbm_separate_潮州_C0R220_combined_windows,separate,117
萬華_466920_combined_windows,3.25023711384988,1,lgbm_separate_萬華_466920_combined_windows,separate,118
小港_C0V450_combined_windows,3.3165736599446,1,lgbm_separate_小港_C0V450_combined_windows,separate,119
中山_C0AH70_combined_windows,3.35833500739655,1,lgbm_separate_中山_C0AH70_combined_windows,separate,120
金門_C0W150_combined_windows,3.3961265553294,1,lgbm_separate_金門_C0W150_combined_windows,separate,121
中壢_A2C560_combined_windows,3.39847002768321,1,lgbm_separate_中壢_A2C560_combined_windows,separate,122
大寮_C0V450_combined_windows,3.46910722117894,1,lgbm_separate_大寮_C0V450_combined_windows,separate,123
林園_C0R640_combined_windows,3.55063591893218,1,lgbm_separate_林園_C0R640_combined_windows,separate,124
臺西_C0K530_combined_windows,3.68315547681682,1,lgbm_separate_臺西_C0K530_combined_windows,separate,125
三重_C0AI30_combined_windows,3.73235891716431,1,lgbm_separate_三重_C0AI30_combined_windows,separate,126
崙背_C0K250_combined_windows,3.75108322314008,1,lgbm_separate_崙背_C0K250_combined_windows,separate,127
