station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank,combined_score,overall_rank
嘉義_C0M730_combined_windows,2.70664023268688,1,lstm_separate_嘉義_C0M730_combined_windows,separate,80,2.67882121174819,1,lgbm_separate_嘉義_C0M730_combined_windows,separate,79,0.371380129344726,79
新營_C0X250_combined_windows,2.73498484025919,1,lstm_separate_新營_C0X250_combined_windows,separate,82,2.65759507268957,1,lgbm_separate_新營_C0X250_combined_windows,separate,75,0.370956393531483,80
臺南_467410_combined_windows,2.71688489321563,1,lstm_separate_臺南_467410_combined_windows,separate,81,2.68766706389208,1,lgbm_separate_臺南_467410_combined_windows,separate,81,0.370069243582121,81
土城_C0AD40_combined_windows,2.67243193952663,1,lstm_separate_土城_C0AD40_combined_windows,separate,76,2.77581853580424,1,lgbm_separate_土城_C0AD40_combined_windows,separate,85,0.367222552254354,82
桃園_C0C480_combined_windows,2.76906985116935,1,lstm_separate_桃園_C0C480_combined_windows,separate,86,2.73186988068386,1,lgbm_separate_桃園_C0C480_combined_windows,separate,83,0.363590870620283,83
善化_C0O900_combined_windows,2.83064560443719,1,lstm_separate_善化_C0O900_combined_windows,separate,88,2.68547428215721,1,lgbm_separate_善化_C0O900_combined_windows,separate,80,0.362824999971359,84
新店_C0AC80_combined_windows,2.70274244077896,1,lstm_separate_新店_C0AC80_combined_windows,separate,78,2.82902422648013,1,lgbm_separate_新店_C0AC80_combined_windows,separate,88,0.361736664283561,85
平鎮_A2C560_combined_windows,2.84965696394818,1,lstm_separate_平鎮_A2C560_combined_windows,separate,89,2.72748657440327,1,lgbm_separate_平鎮_A2C560_combined_windows,separate,82,0.358778674622506,86
林口_C0AH50_combined_windows,2.8008119018315,1,lstm_separate_林口_C0AH50_combined_windows,separate,87,2.79577091420023,1,lgbm_separate_林口_C0AH50_combined_windows,separate,86,0.357361212789854,87
基隆_466940_combined_windows,2.73513134465263,1,lstm_separate_基隆_466940_combined_windows,separate,83,2.89752290883481,1,lgbm_separate_基隆_466940_combined_windows,separate,94,0.355367767038443,88
萬里_C0A940_combined_windows,2.89846442658754,1,lstm_separate_萬里_C0A940_combined_windows,separate,92,2.77058365514186,1,lgbm_separate_萬里_C0A940_combined_windows,separate,84,0.352972525597428,89
松山_C0AC70_combined_windows,2.85085221830239,1,lstm_separate_松山_C0AC70_combined_windows,separate,90,2.85293676052025,1,lgbm_separate_松山_C0AC70_combined_windows,separate,90,0.35064415506199,90
朴子_C0M650_combined_windows,2.91680619388489,1,lstm_separate_朴子_C0M650_combined_windows,separate,94,2.80388203932935,1,lgbm_separate_朴子_C0M650_combined_windows,separate,87,0.349744563348877,91
屏東_C0R570_combined_windows,2.85924261260418,1,lstm_separate_屏東_C0R570_combined_windows,separate,91,2.89236996694208,1,lgbm_separate_屏東_C0R570_combined_windows,separate,92,0.347740102795886,92
